2023-09-15 11:06:06,829 INFO    MainThread:1084023 [wandb_init.py:_resume_backend():440] resuming backend
2023-09-15 11:06:06,832 INFO    MainThread:1084023 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-15 11:06:06,832 INFO    MainThread:1084023 [wandb_init.py:_pause_backend():435] pausing backend
2023-09-15 11:06:06,843 INFO    MainThread:1084023 [wandb_init.py:_resume_backend():440] resuming backend
2023-09-15 11:06:07,175 INFO    MainThread:1084023 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-15 11:06:07,176 INFO    MainThread:1084023 [wandb_init.py:_pause_backend():435] pausing backend
2023-09-15 11:40:08,995 INFO    MainThread:1084023 [wandb_init.py:_resume_backend():440] resuming backend
2023-09-15 11:40:08,997 INFO    MainThread:1084023 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-15 11:40:08,997 INFO    MainThread:1084023 [wandb_init.py:_pause_backend():435] pausing backend
2023-09-15 11:40:12,657 INFO    MainThread:1084023 [wandb_init.py:_resume_backend():440] resuming backend
2023-09-15 11:40:13,004 INFO    MainThread:1084023 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-15 11:40:13,005 INFO    MainThread:1084023 [wandb_init.py:_pause_backend():435] pausing backend
2023-09-15 11:40:27,465 INFO    MainThread:1084023 [wandb_init.py:_resume_backend():440] resuming backend
2023-09-15 11:40:28,046 INFO    MainThread:1084023 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-15 11:40:28,046 INFO    MainThread:1084023 [wandb_init.py:_pause_backend():435] pausing backend
2023-09-15 11:40:32,315 INFO    MainThread:1084023 [wandb_init.py:_resume_backend():440] resuming backend
2023-09-15 11:40:32,321 INFO    MainThread:1084023 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-15 11:40:32,321 INFO    MainThread:1084023 [wandb_init.py:_pause_backend():435] pausing backend
2023-09-15 11:43:07,286 INFO    MainThread:1084023 [wandb_init.py:_resume_backend():440] resuming backend
2023-09-15 12:26:44,082 INFO    MainThread:1084023 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-15 12:26:44,082 INFO    MainThread:1084023 [wandb_init.py:_pause_backend():435] pausing backend
2023-09-15 12:26:44,089 INFO    MainThread:1084023 [wandb_init.py:_resume_backend():440] resuming backend
2023-09-15 12:26:44,091 INFO    MainThread:1084023 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-15 12:26:44,091 INFO    MainThread:1084023 [wandb_init.py:_pause_backend():435] pausing backend
2023-09-15 12:26:44,105 INFO    MainThread:1084023 [wandb_init.py:_resume_backend():440] resuming backend
2023-09-15 12:26:44,464 INFO    MainThread:1084023 [jupyter.py:save_ipynb():373] not saving jupyter notebook
